match_id,patch,blue_top,blue_jg,blue_mid,blue_adc,blue_sup,red_top,red_jg,red_mid,red_adc,red_sup,blue_top_wr,blue_jg_wr,blue_mid_wr,blue_adc_wr,blue_sup_wr,red_top_wr,red_jg_wr,red_mid_wr,red_adc_wr,red_sup_wr,blue_top_games,blue_jg_games,blue_mid_games,blue_adc_games,blue_sup_games,red_top_games,red_jg_games,red_mid_games,red_adc_games,red_sup_games,blue_avg_wr,red_avg_wr,avg_wr_diff,blue_win
NA1_5512659668,16.5,Riven,Vi,Ahri,Syndra,Nautilus,Fiora,Graves,Fizz,Lucian,Nami,0.5041666666666667,0.5681818181818182,0.6666666666666666,0.49056603773584906,0.5625,0.5333333333333333,0.5333333333333333,0.5384615384615384,0.5135135135135135,0.4567901234567901,240,132,6,424,144,120,30,52,222,81,0.5584162378502001,0.5150863684197018,0.043329869430498325,1
NA1_5512338006,16.5,DrMundo,JarvanIV,Sylas,Jinx,Renata,Gnar,Sejuani,Pantheon,Mel,Karma,0.4945054945054945,0.5681818181818182,0.5714285714285714,0.4793814432989691,0.35714285714285715,0.45161290322580644,0.5797101449275363,0.4489795918367347,0.496,0.4634146341463415,546,132,56,194,28,124,69,49,125,82,0.49412803691154206,0.48794345482728374,0.006184582084258317,1
NA1_5511924636,16.5,Chogath,Hecarim,Viktor,Jinx,Karma,Aatrox,Vi,Aurora,Yasuo,Pyke,0.5806451612903226,0.5147058823529411,0.5272727272727272,0.5234741784037559,0.5373134328358209,0.5087209302325582,0.5681818181818182,0.2222222222222222,0.4942528735632184,0.55,62,68,55,426,134,344,132,9,261,120,0.5366822764311135,0.4686755688399634,0.06800670759115013,0
NA1_5511907283,16.5,Gangplank,Karthus,Anivia,Ezreal,Janna,Swain,LeeSin,TwistedFate,MissFortune,Shaco,0.5067385444743935,0.5294117647058824,0.5608108108108109,0.48854961832061067,0.5681818181818182,0.484472049689441,0.5977011494252874,0.5476190476190477,0.472636815920398,0.38235294117647056,371,51,148,262,132,161,87,42,201,34,0.5307385112987031,0.49695640076612896,0.03378211053257413,0
NA1_5510424504,16.5,Shen,Udyr,Aurora,Ezreal,Elise,Sejuani,Nocturne,Talon,Brand,Karma,0.5018315018315018,0.5833333333333334,0.4849315068493151,0.5145228215767634,0.45982142857142855,0.46774193548387094,0.5681818181818182,0.5204359673024523,0.46285714285714286,0.5629139072847682,273,48,365,241,224,62,132,367,175,151,0.5088881184324684,0.5164261542220105,-0.007538035789542152,1
NA1_5509758405,16.5,KSante,Graves,Ahri,Ashe,Nautilus,Teemo,RekSai,Lux,Jinx,Braum,0.5970149253731343,0.5462184873949579,0.5368731563421829,0.5123762376237624,0.4860335195530726,0.4889502762430939,0.5681818181818182,0.48,0.5714285714285714,0.5789473684210527,67,238,339,404,179,362,132,200,35,76,0.5357032652574221,0.5375016068549072,-0.0017983415974851535,1
NA1_5509748056,16.5,Jax,Diana,Akshan,Kaisa,Alistar,Gragas,Jayce,Galio,MissFortune,Xerath,0.6097560975609756,0.5681818181818182,0.5666666666666667,0.5714285714285714,0.4860335195530726,0.6404494382022472,0.5234899328859061,0.5137795275590551,0.6,0.5714285714285714,82,132,90,42,179,89,149,508,70,49,0.560413334678221,0.5698294940151559,-0.00941615933693496,0
NA1_5509664389,16.5,Kled,Nocturne,Ahri,Jinx,Pyke,Garen,Vi,Viktor,Swain,Soraka,0.5752212389380531,0.5138888888888888,0.5300546448087432,0.46846846846846846,0.4963768115942029,0.5291828793774319,0.5681818181818182,0.5102040816326531,0.504950495049505,0.5451263537906137,113,216,183,333,276,257,132,49,101,277,0.5168020105396713,0.5315291256064044,-0.014727115066733076,0
NA1_5509657763,16.5,Malphite,Viego,Diana,Quinn,Lulu,Darius,Evelynn,Syndra,Lucian,Nami,0.5301507537688442,0.5681818181818182,0.5625,0.4646153846153846,0.4854368932038835,0.5169811320754717,0.5833333333333334,0.49732620320855614,0.5230769230769231,0.5327102803738317,398,132,48,325,103,265,12,187,195,214,0.5221769699539861,0.5306855744136232,-0.008508604459637081,0
NA1_5512792535,16.5,Fiora,Kindred,Karma,Aphelios,Zyra,Yorick,Vi,Yasuo,Caitlyn,Blitzcrank,0.49658314350797267,0.5342465753424658,0.5533333333333333,0.5244444444444445,0.638095238095238,0.5431034482758621,0.4770992366412214,0.5280898876404494,0.5068493150684932,0.5148514851485149,439,292,150,450,105,116,262,178,73,101,0.5493405469446909,0.5139986745549081,0.035341872389782814,1
